City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
115,saskylakh,71.9167,114.0833,-20.97,99,99,3.94,RU,1675710707
116,barcelos,41.5388,-8.6151,59.14,58,0,4.68,PT,1675710595
117,canton,23.1167,113.25,64.87,81,100,3.4,CN,1675710703
118,bubaque,11.2833,-15.8333,76.05,68,9,21.72,GW,1675710895
119,muisne,0.6,-80.0333,81.36,74,51,10.83,EC,1675710896
120,mar del plata,-38.0023,-57.5575,74.82,61,17,10.0,AR,1675710638
121,balassagyarmat,48.073,19.2961,26.13,67,1,3.51,HU,1675710897
122,marquette,46.5333,-87.6335,27.03,74,100,11.99,US,1675710898
123,karratha,-20.7377,116.8463,85.89,65,6,8.12,AU,1675710899
124,lasa,46.6166,10.7002,30.69,96,62,4.14,IT,1675710707
125,khatanga,71.9667,102.5,-41.4,100,58,3.65,RU,1675710899
126,chiredzi,-21.05,31.6667,81.82,35,64,7.56,ZW,1675710900
127,salto,-31.3833,-57.9667,95.88,33,6,8.01,UY,1675710900
128,bengkulu,-3.8004,102.2655,75.2,86,100,5.93,ID,1675710901
129,linhares,-19.3911,-40.0722,90.19,51,3,8.23,BR,1675710901
130,japura,-0.3167,102.35,74.41,91,100,2.66,ID,1675710655
131,clyde river,70.4692,-68.5914,-29.78,86,63,4.38,CA,1675710638
132,panaba,21.2833,-88.2667,81.18,56,90,8.79,MX,1675710907
133,souillac,-20.5167,57.5167,78.58,82,74,13.13,MU,1675710634
134,lata,40.1629,-8.3327,54.81,60,0,7.0,PT,1675710911
135,yumen,40.2833,97.2,25.95,44,5,8.16,CN,1675710913
136,vila franca do campo,37.7167,-25.4333,57.61,96,100,9.15,PT,1675710717
137,acapulco,16.8634,-99.8901,85.82,62,0,8.05,MX,1675710745
138,kaitangata,-46.2817,169.8464,54.93,76,8,6.02,NZ,1675710734
139,qasigiannguit,68.8193,-51.1922,-3.75,98,100,3.15,GL,1675710822
140,misawa,40.6836,141.3597,32.61,92,100,3.78,JP,1675710925
141,cidreira,-30.1811,-50.2056,77.85,65,29,9.98,BR,1675710695
142,kresttsy,58.2452,32.5165,24.78,98,100,0.87,RU,1675710666
143,kushiro,42.975,144.3747,17.87,90,71,6.6,JP,1675710927
144,puerto escondido,15.85,-97.0667,83.23,69,40,9.22,MX,1675710927
145,olot,42.181,2.4901,42.55,65,22,6.44,ES,1675710928
146,davila,18.4726,120.5763,77.14,77,97,4.68,PH,1675710929
147,tiksi,71.6872,128.8694,-31.79,100,85,5.84,RU,1675710930
148,waddan,29.1614,16.139,52.75,45,31,6.17,LY,1675710931
149,maymyo,22.0333,96.4667,56.07,32,0,1.95,MM,1675710931
150,stettler,52.3168,-112.7186,33.55,55,16,16.11,CA,1675710932
151,fethiye,36.6217,29.1164,44.47,66,87,10.42,TR,1675710933
152,saint-philippe,-21.3585,55.7679,78.39,85,86,12.21,RE,1675710933
153,swan hill,-35.3378,143.5544,60.04,71,0,8.95,AU,1675710934
154,cockburn town,21.4612,-71.1419,80.56,65,40,16.11,TC,1675710934
155,hirara,24.8,125.2833,69.17,83,67,14.65,JP,1675710935
156,codrington,-38.2667,141.9667,56.48,85,75,5.21,AU,1675710935
157,kristiansund,63.1115,7.732,46.45,81,75,13.8,NO,1675710936
158,zhaodong,46.0833,125.9833,-2.0,96,5,5.57,CN,1675710936
159,thompson,55.7435,-97.8558,23.29,95,100,3.09,CA,1675710937
160,kiama,-34.6833,150.8667,71.38,89,100,1.99,AU,1675710938
161,alice springs,-23.7,133.8833,65.75,63,40,5.75,AU,1675710938
162,abnub,27.2696,31.1511,50.85,31,11,8.16,EG,1675710939
163,tocopilla,-22.092,-70.1979,75.61,74,20,7.9,CL,1675710939
164,sofrino,56.15,37.9667,21.31,100,100,2.55,RU,1675710940
165,tambovka,50.0969,128.0489,-6.54,98,100,1.77,RU,1675710940
166,flin flon,54.7682,-101.865,19.24,63,100,20.71,CA,1675710942
167,vaitape,-16.5167,-151.75,81.32,74,8,16.13,PF,1675710943
168,cherskiy,68.75,161.3,-37.35,100,100,5.23,RU,1675710944
169,victoria,22.2855,114.1577,68.95,90,97,8.01,HK,1675710585
170,haines junction,60.7522,-137.5108,33.75,37,42,13.8,CA,1675710944
171,carmen,18.6333,-91.8333,77.04,78,75,8.05,MX,1675710945
172,faranah,10.0404,-10.7434,88.2,16,91,3.51,GN,1675710946
173,guerrero negro,27.9769,-114.0611,61.52,58,99,25.12,MX,1675710947
174,ha giang,22.8333,104.9833,68.47,98,100,1.28,VN,1675710947
175,trincomalee,8.5711,81.2335,78.01,84,67,12.06,LK,1675710948
176,buenos aires,-34.6132,-58.3772,91.98,35,0,7.67,AR,1675710664
177,morgan city,29.6994,-91.2068,73.0,47,0,7.18,US,1675710949
178,walvis bay,-22.9575,14.5053,67.15,82,94,8.05,NA,1675710949
179,georgetown,5.4112,100.3354,76.95,93,20,4.61,MY,1675710394
180,saint george,37.1041,-113.5841,48.43,55,0,5.75,US,1675710378
181,maragogi,-9.0122,-35.2225,81.46,67,100,10.42,BR,1675710837
182,kieta,-6.2167,155.6333,75.54,95,100,5.21,PG,1675710951
183,pitea,65.3172,21.4794,33.89,86,100,14.41,SE,1675710863
184,catia la mar,10.6038,-67.0303,90.99,61,20,6.91,VE,1675710951
185,provideniya,64.3833,-173.3,-10.46,97,89,4.41,RU,1675710952
186,arraial do cabo,-22.9661,-42.0278,85.86,58,40,8.05,BR,1675710952
187,vestmannaeyjar,63.4427,-20.2734,33.8,90,100,34.18,IS,1675710953
188,heishan,41.6892,122.1128,23.85,42,100,5.88,CN,1675710954
189,marovoay,-16.1,46.6333,75.96,92,100,4.94,MG,1675710954
190,castro,-24.7911,-50.0119,79.65,49,14,4.29,BR,1675710650
191,san quintin,30.4833,-115.95,59.9,52,15,17.0,MX,1675710955
